article,qid,country_code,total_pageviews
Mario_J._Molina,Q19045,US,439677
Telemundo,Q136538,US,437142
Angela_Bassett,Q232120,US,435254
Ray_Liotta,Q211280,US,435212
Ice_Spice,Q114114977,US,434692
The_Super_Mario_Bros._Movie,Q108671102,US,430767
Shadow_and_Bone_(TV_series),Q85800564,US,428928
Reese_Witherspoon,Q44063,US,425332
You_(season_4),Q111890539,US,421140
Succession_(TV_series),Q30599007,US,420312
Bobby_Caldwell,Q2907941,US,414754
List_of_largest_banks_in_the_United_States,Q17017867,US,413678
Stevie_Nicks,Q234691,US,412908
The_Night_Agent,Q116909156,US,411703
Elizabeth_II,Q9682,US,411096
Fleetwood_Mac,Q106648,US,408748
Miley_Cyrus,Q4235,US,405774
Natasha_Lyonne,Q234207,US,404639
Ryan_Reynolds,Q192682,US,403885
Second_World_War,Q362,US,402539
2022_Russian_invasion_of_Ukraine,Q110999040,US,401926
Austin_Butler,Q469954,US,399848
Jane_Fonda,Q41142,US,398421
Lux_Pascal,Q33123460,US,398198
Lars_Nootbaar,Q107315831,US,396030
Air_Pollution_Index,Q4698151,US,395860
Facebook,Q355,US,394425
Katee_Sackhoff,Q230335,US,392984
The_Last_of_Us_Part_II,Q27950674,US,388998
Ides_of_March,Q948604,US,388497
Creed_(film),Q18822138,US,387637
I_See_You_(2019_film),Q65081437,US,387089
Val_Kilmer,Q191084,US,386228
Zach_Edey,Q106817973,US,385247
Jean_Todt,Q171998,US,383980
Shaka_Smart,Q7462536,US,383023
Deaths_in_2023,Q114929139,US,381978
Morgan_Wallen,Q29561472,US,381768
Paul_Vallas,Q3372334,US,381304
Women_Talking_(film),Q108030443,US,380968
Lonnie_Frisbee,Q1131456,US,380265
Nicolas_Cage,Q42869,US,379747
The_Last_of_Us,Q1986744,US,378097
List_of_You_episodes,Q39082126,US,378006
LeBron_James,Q36159,US,376721
Christopher_Guest,Q336074,US,374742
Chance_the_Rapper,Q12470060,US,373213
Stephanie_Hsu,Q63381497,US,372132
Ramadan,Q41662,US,371714
Kelsea_Ballerini,Q18637137,US,370779
Ansel_Adams,Q60809,US,368615
Lady_Gaga,Q19848,US,368245
Steve_Howey_(actor),Q1285062,US,366715
Aubrey_Plaza,Q210547,US,363620
Florence_Pugh,Q22277803,US,362581
Priscilla_Beaulieu,Q234773,US,362262
Outer_Banks_(TV_series),Q89414035,US,360575
Michael_Jackson,Q2831,US,360320
Dale_Krantz-Rossington,Q445448,US,360112
Albert_DeSalvo,Q1342909,US,359591
Limonene,Q278809,US,358047
Madelyn_Cline,Q91600162,US,356991
1923_(TV_series),Q112862420,US,356797
Theo_Von,Q7781503,US,356232
Shaquille_O'Neal,Q169452,US,354880
Academy_Award_for_Best_Picture,Q102427,US,353420
BACnet,Q795383,US,353331
Dick_Van_Dyke,Q310295,US,353168
Barack_Obama,Q76,US,352218
Salma_Hayek,Q125106,US,351751
"Charles,_Prince_of_Wales",Q43274,US,350789
Adolf_Hitler,Q352,US,348777
Tessa_Thompson,Q271500,US,347435
Null,Q1179138,US,346375
UFC_285,Q115857639,US,346101
Hong_Chau,Q38195662,US,345756
Kim_Mulkey,Q2475545,US,343116
John_Travolta,Q80938,US,342760
"New_York,_New_York",Q60,US,341547
Russell_Brand,Q296609,US,340599
The_Mandalorian_(season_3),Q108882382,US,339362
Demi_Moore,Q43044,US,337022
Jake_Gyllenhaal,Q133313,US,336891
Clint_Eastwood,Q43203,US,336848
Jeff_Cohen_(actor),Q1137777,US,333567
The_Eras_Tour,Q114977368,US,329216
Jason_Sudeikis,Q14539,US,328868
Charlbi_Dean,Q101064944,US,328761
MH370,Q15908324,US,326814
Rihanna,Q36844,US,326761
Arnold_Schwarzenegger,Q2685,US,326644
Tom_Hanks,Q2263,US,325473
Idris_Elba,Q342604,US,324684
Men's_underwear_index,Q6816167,US,324482
Camila_Morrone,Q27449526,US,324337
Alexandra_Grant,Q4720650,US,323299
Stormy_Daniels,Q233240,US,323201
Top_Gun:_Maverick,Q31202708,US,322873
Suki_Waterhouse,Q16235151,US,321611
Jim_Larranaga,Q4025946,US,321506
Hunter_Schafer,Q59248250,US,320387
Chase_Stokes,Q93608904,US,319187
TÃ¡r,Q108649516,US,318010
Gigi_Hadid,Q16843706,US,317088
George_Soros,Q12908,US,316644
Fox_Broadcasting_Company,Q166419,US,314810
Pablo_Escobar,Q187447,US,314675
The_Menu_(2022_film),Q108444804,US,314135
Jason_Ritter,Q431362,US,313837
Jennifer_Aniston,Q32522,US,312378
Milky_Way,Q321,US,311889
List_of_states_and_territories_of_the_United_States,Q1682357,US,311277
Carlo_Masi,Q3659599,US,310663
Puss_in_Boots:_The_Last_Wish,Q31271384,US,310492
Caitlin_Clark,Q106298476,US,310029
2022_FIFA_World_Cup,Q284163,US,309700
Knock_at_the_Cabin,Q111684978,US,307894
Marilyn_Monroe,Q4616,US,307293
Black_Panther:_Wakanda_Forever,Q54860489,US,306372
Scarlett_Johansson,Q34436,US,306285
Annie_Wersching,Q239093,US,306206
All_Quiet_on_the_Western_Front,Q207332,US,303652
Creed_II,Q50233658,US,301923
Gene_Hackman,Q150943,US,301220
Mel_Brooks,Q104266,US,300905
Bobby_Hurley,Q1626464,US,299950
Gabriel_Basso,Q4025857,US,299031
Academy_Award,Q19020,US,298940
UFC_286,Q115803958,US,298813
Jeffrey_Dahmer,Q298364,US,298302
Jennifer_Connelly,Q103343,US,298223
Jason_Bateman,Q284636,US,298114
Google_Maps,Q12013,US,297917
Adam_Driver,Q4678990,US,297631
Russia,Q159,US,296413
Lori_Lightfoot,Q56486914,US,296356
Tucker_Carlson,Q743162,US,295920
Apple_Network_Server,Q119827,US,294828
Kobe_Bryant,Q25369,US,294755
Hannah_Waddingham,Q5648978,US,293934
Scottie_Scheffler,Q30161386,US,293545
Drew_Barrymore,Q676094,US,293492
Cocaine_Bear_(bear),Q115567508,US,293470
The_Glory_(TV_series),Q113197148,US,292387
Wiki,Q171,US,292103
RuPaul's_Drag_Race_(season_15),Q115689435,US,292048
Cher,Q12003,US,291463
Edamame,Q1377879,US,290735
Bad_Bunny,Q44333953,US,290588
Leonardo_DiCaprio,Q38111,US,290243
Chabelo,Q5066005,US,290212
Eva_Longoria,Q163263,US,290184
Elizabeth_Banks,Q219373,US,289971
Holi,Q10259,US,289954
Woody_Harrelson,Q201279,US,289472
6ix9ine,Q44479972,US,289234
