date,country_code,article,qid,pageviews,lang_code
2023-03-16,US,World_Baseball_Classic,Q26457,87955,en
2023-03-13,US,Kelly_Curtis,Q273574,87945,en
2023-03-12,US,URL,Q42253,87892,en
2023-03-18,US,Randy_Arozarena,Q65972748,87836,en
2023-03-20,US,Marie_Antoinette,Q47365,87807,en
2023-03-08,US,Chris_Rock,Q4109,87740,en
2023-03-15,US,Creed_III,Q110664384,87710,en
2023-03-19,US,Swarm_(TV_series),Q116788716,87409,en
2023-03-01,US,BACnet,Q795383,87346,en
2023-03-27,US,Gallery_of_sovereign_state_flags,Q2429697,87283,en
2023-03-27,US,ChatGPT,Q115564437,87281,en
2023-03-20,US,World_Baseball_Classic,Q26457,87182,en
2023-03-15,US,Jamie_Lee_Curtis,Q106997,87029,en
2023-03-13,US,Bella_Ramsey,Q24891605,86929,en
2023-03-13,US,Charlbi_Dean,Q101064944,86914,en
2023-03-26,US,YouTube,Q866,86901,en
2023-03-07,US,Gallery_of_sovereign_state_flags,Q2429697,86855,en
2023-03-16,US,Gallery_of_sovereign_state_flags,Q2429697,86773,en
2023-03-05,US,Ciryl_Gane,Q79372882,86754,en
2023-03-12,US,2023_World_Baseball_Classic,Q28682891,86679,en
2023-03-18,US,The_Eras_Tour,Q114977368,86598,en
2023-03-25,US,YouTube,Q866,86563,en
2023-03-29,US,YouTube,Q866,86550,en
2023-03-13,US,Women_Talking_(film),Q108030443,86230,en
2023-03-09,US,Regional_Snowfall_Index,Q17460747,85768,en
2023-03-05,US,Stipe_Miocic,Q40266,85670,en
2023-03-27,US,YouTube,Q866,85659,en
2023-03-21,US,2023_deaths,Q114929139,85489,en
2023-03-24,US,YouTube,Q866,85477,en
2023-03-05,US,Bo_Nickal,Q86752584,85154,en
2023-03-20,US,Gallery_of_sovereign_state_flags,Q2429697,85136,en
2023-03-18,US,Deaths_in_2023,Q114929139,85002,en
2023-03-12,US,Zach_Edey,Q106817973,84853,en
2023-03-23,US,YouTube,Q866,84827,en
2023-03-20,US,ChatGPT,Q115564437,84713,en
2023-03-10,US,Gallery_of_sovereign_state_flags,Q2429697,84691,en
2023-03-01,US,Murdaugh_family,Q108673301,84563,en
2023-03-22,US,2023_deaths,Q114929139,84336,en
2023-03-28,US,John_Wick:_Chapter_4,Q80322358,84247,en
2023-03-24,US,Google,Q95,83754,en
2023-03-24,US,Markquis_Nowell,Q100892196,83749,en
2023-03-23,US,2023_deaths,Q114929139,83506,en
2023-03-07,US,Ja_Morant,Q59656031,83501,en
2023-03-13,US,Academy_Award_for_Best_Picture,Q102427,83482,en
2023-03-25,US,Waco_Siege,Q258873,83457,en
2023-03-24,US,ChatGPT,Q115564437,83195,en
2023-03-15,US,API,Q165194,83165,en
2023-03-13,US,All_Quiet_on_the_Western_Front,Q207332,82998,en
2023-03-13,US,James_Hong,Q358990,82628,en
2023-03-01,US,Brandon_Johnson_(politician),Q73917865,82570,en
2023-03-28,US,YouTube,Q866,82532,en
2023-03-15,US,The_Whale_(2022_film),Q105883400,82512,en
2023-03-19,US,Shazam!_Fury_of_the_Gods,Q84712809,82421,en
2023-03-23,US,ChatGPT,Q115564437,82228,en
2023-03-04,US,Riley_Keough,Q254947,82114,en
2023-03-08,US,Dia_de_la_mujer,Q38964,82105,es
2023-03-06,US,Pedro_Pascal,Q14752155,82100,en
2023-03-02,US,Regional_Snowfall_Index,Q17460747,81869,en
2023-03-26,US,Emily_Ratajkowski,Q5372335,81630,en
2023-03-04,US,Daisy_Jones_&_The_Six,Q56274719,81611,en
2023-03-29,US,Blackout_cake,Q28407625,81425,en
2023-03-11,US,Robert_Blake_(actor),Q524281,81295,en
2023-03-12,US,Look_for_the_Light,Q87131973,81190,en
2023-03-17,US,Creed_III,Q110664384,81124,en
2023-03-20,US,2023_deaths,Q114929139,81098,en
2023-03-20,US,Rick_Pitino,Q686052,81093,en
2023-03-29,US,2023_deaths,Q114929139,80942,en
2023-03-17,US,Gallery_of_sovereign_state_flags,Q2429697,80914,en
